DogID,Energy_A,Energy_G,Peak_A,Peak_G,Cross_Mean_A,Cross_Mean_G,ANorm,GNorm,FilteredANorm,FilteredGNorm,Behavior,F1_Score
16.0,2.375511683887878e-05,0.31546403310998467,0.19,0.2,76.0,80.0,0.9123923217284328,92.42573491680103,0.0006846640459368463,-0.06825108741456515,3,0.8053970105411595
16.0,3.304923102911265e-05,0.6981869162280436,0.2,-0.195,76.0,78.0,0.9225608777891029,88.0492004264107,-0.0018023693670802137,-0.846152496113775,3,0.8053970105411595
16.0,7.836115154524413e-05,1.115304216896812,0.2,0.195,78.0,80.0,0.9143546331134326,77.31617944216345,-0.0052310770641986115,-0.12657573869932542,3,0.8053970105411595
16.0,9.43690718247677e-05,0.5338346210477612,0.2,0.185,82.0,78.0,0.914879774964995,61.23399350416649,-0.004260385591455351,0.962913504162403,3,0.8053970105411595
16.0,1.5450743894492436e-05,0.5309394262541186,0.215,0.185,82.0,74.0,0.9097049657669237,42.97347740043613,0.004112516379766228,0.4847100844078701,3,0.8053970105411595
16.0,7.280939664329173e-06,0.791733846568886,0.195,-0.195,78.0,76.0,0.8368435858235397,30.635029850978455,0.01055995215432982,-0.9641749324787094,3,0.8053970105411595
16.0,0.00010249233415828811,1.0007297249155764,0.19,0.185,76.0,78.0,0.8016201525778902,42.62548908270767,0.003381049242746492,-1.0076696735557056,3,0.8053970105411595
16.0,6.349780532036907e-05,1.647833822179735,0.185,0.2,76.0,80.0,0.8039871850489907,61.866262837387296,-0.011455652718608258,0.6268182047376326,3,0.8053970105411595
16.0,0.0001276328453545575,3.2958098639469675,0.195,0.195,78.0,78.0,0.8465351937149453,71.20237316425283,-0.013177304333979439,1.4296019392644577,3,0.8053970105411595
16.0,5.7141672774713095e-06,0.28606865799737563,0.2,0.2,84.0,80.0,0.985629175453933,62.97893969168129,0.004411191479938965,0.026702235036433507,3,0.8053970105411595
16.0,2.5840966708721983e-05,1.3647504645098667,0.21,0.195,82.0,78.0,1.1298781432353668,45.90335000312759,0.01882499948294112,-1.5002948402695468,3,0.8053970105411595
16.0,7.808643476512406e-05,0.826670722184677,0.2,-0.20500000000000002,80.0,82.0,1.10892762666055,65.63734818556702,0.007863473666008144,-0.7872883686527661,3,0.8053970105411595
16.0,6.0520112160186165e-05,0.6506625116037441,-0.195,0.195,78.0,80.0,1.0379780483020824,106.24222899681595,-0.01582142112400413,1.0961235514068919,3,0.8053970105411595
16.0,1.47228355506028e-05,0.9450126496543493,0.2,0.19,82.0,76.0,1.0341149275713992,140.95810814676673,-0.018942224507171115,1.314352910550712,3,0.8053970105411595
16.0,1.1849803224868094e-05,0.10373486487423626,0.20500000000000002,0.185,84.0,80.0,1.1797193817802605,157.50735344461197,0.004627976279520841,-0.37027413725967584,3,0.8053970105411595
16.0,5.208617878689199e-05,0.8313331887884294,0.20500000000000002,0.19,82.0,82.0,1.277139955120816,160.27545904940254,0.0226437088217325,-1.3848680495896746,3,0.8053970105411595
16.0,2.6823808708046324e-05,1.2096392582392843,0.195,0.195,80.0,76.0,1.1019708318018222,155.00976920479425,0.009581097123231526,-0.345996910833109,3,0.8053970105411595
16.0,3.565419734952893e-05,0.4726424477790914,-0.20500000000000002,0.19,78.0,78.0,0.9016992764042787,133.10453029382347,-0.016613032052099394,1.0552914307861343,3,0.8053970105411595
16.0,8.932658906153896e-06,0.17847954998103266,-0.195,0.20500000000000002,80.0,80.0,0.8268971129215532,112.14878055878968,-0.0198216863948121,0.8153416828535913,3,0.8053970105411595
16.0,8.923782726602982e-06,0.22237488381487502,0.195,0.195,80.0,78.0,0.88474724617034,102.91896295832302,0.0037162359058258024,-0.5161767888005238,3,0.8053970105411595
16.0,3.348948596951106e-05,0.49427174077007496,0.195,0.21,80.0,78.0,1.0568963097967559,96.42197317916792,0.02134108972778723,-0.9364409401060817,3,0.8053970105411595
16.0,4.771746234049923e-05,0.8543552839259272,0.2,-0.195,82.0,82.0,1.186585352094825,94.13010912697311,0.009835327572829013,0.022360091392467175,3,0.8053970105411595
16.0,5.983088895359225e-05,3.4242248012181187,0.20500000000000002,0.2,80.0,80.0,1.196760788798246,94.13946857166465,-0.013982465708671411,0.8196072210400913,3,0.8053970105411595
16.0,0.00013011821866273153,9.252666659654768,0.195,0.2,80.0,78.0,1.163475726901941,91.20958815415499,-0.018022762568590787,0.31377682552708364,3,0.8053970105411595
16.0,8.98837399717751e-06,0.5214862395178941,0.20500000000000002,0.195,82.0,78.0,1.1202800572115885,88.16407942296782,0.0017371563638049654,-0.6175700812861937,3,0.8053970105411595
16.0,5.913122531855612e-06,0.44932065458666415,0.185,0.19,80.0,76.0,1.1021789365007844,85.47487700883904,0.017908445867587736,-0.5136841746480997,3,0.8053970105411595
16.0,1.3287265250655211e-05,0.06445908895797278,0.195,0.18,76.0,78.0,1.0990276125493845,84.57782023126245,0.00970844184537116,0.4195821919229311,3,0.8053970105411595
16.0,2.8663919759314012e-05,0.6743614036943268,0.195,0.195,78.0,78.0,1.0987766046039567,83.95858267418618,-0.010506256300474822,0.6556942292296434,3,0.8053970105411595
16.0,3.157062064646517e-05,0.30675752471869433,-0.19,0.195,76.0,78.0,1.112823404860358,80.62190190716889,-0.015720190951928538,-0.21808070290398,3,0.8053970105411595
16.0,1.040576666331975e-05,0.5304679491993446,0.19,0.2,76.0,78.0,1.121354546586404,75.44491446108286,-0.00021460099117156492,-0.7817320484096778,3,0.8053970105411595
16.0,1.8853151611376388e-05,0.26660358098125353,-0.20500000000000002,0.195,80.0,80.0,1.0915102618894612,72.07828610583957,0.01461139328567264,-0.045873726331863464,3,0.8053970105411595
16.0,1.0416816342870184e-05,0.5123842934527368,0.19,0.185,78.0,80.0,1.051672011233065,66.28617929207942,0.009607852696511848,0.8471304347081974,3,0.8053970105411595
16.0,8.632589423144893e-06,0.7430784005769709,0.19,0.2,78.0,78.0,1.0497576341927692,53.46714840776998,-0.007634080607868448,0.38752556969831536,3,0.8053970105411595
16.0,6.133035776289228e-05,0.5317414607088515,0.2,-0.21,78.0,80.0,0.9697954225144599,28.092422702041738,-0.01408759979003714,-0.7739522902437648,3,0.8053970105411595
16.0,1.2156862614931676e-05,0.5281059499311392,0.19,-0.195,76.0,78.0,0.9738533936363317,21.564940389997027,-0.0018594591797002416,-0.7575779611694896,3,0.8053970105411595
16.0,4.311870609258015e-06,0.7608082354348155,0.185,0.2,74.0,80.0,0.9300224281069785,41.30678190078477,0.01228806205623452,0.4935137677443887,3,0.8053970105411595
16.0,6.21536892232175e-06,0.5264604928072311,0.19,0.195,78.0,80.0,0.9086433443430926,57.8801610593494,0.00983745215800761,1.027282522444288,3,0.8053970105411595
16.0,1.220911392795518e-05,0.3197637645374905,0.19,0.21,78.0,80.0,0.9062814768072885,71.23503975769466,-0.00536758884899361,-0.03367315460312259,3,0.8053970105411595
16.0,2.8764338538200963e-05,0.7744990357396212,-0.195,0.21,78.0,82.0,0.9814087847681006,83.78289081138935,-0.013140078905821218,-1.0795429044873877,3,0.8053970105411595
16.0,7.17772225406395e-06,0.2851501062207939,0.2,0.19,80.0,78.0,1.0667090486079134,86.1652617256124,-0.003678737102500046,-0.5067779055774129,3,0.8053970105411595
16.0,8.356460404896795e-06,0.6412128424371659,-0.195,0.2,80.0,80.0,1.0631716703529115,80.66093696418234,0.01037345822258616,0.8346988147487034,3,0.8053970105411595
16.0,1.0337981253085138e-05,0.4078180772417192,0.20500000000000002,0.20500000000000002,82.0,80.0,1.0221478957274237,71.15102968809903,0.010847131868231465,0.9603416117973814,3,0.8053970105411595
16.0,4.0552951368558945e-05,0.7491873593028834,0.2,0.195,80.0,80.0,0.9788627576866943,58.82361473879385,-0.0027727046102712974,-0.3034487353700538,3,0.8053970105411595
16.0,2.7909395417062086e-05,0.2619103346083612,0.2,0.185,78.0,78.0,1.0079158046240766,52.85077476173587,-0.012895052440159118,-1.1360505956043927,3,0.8053970105411595
16.0,3.426939175569363e-06,0.15925077659908016,0.19,-0.19,76.0,80.0,1.1032577915396746,54.52312172809456,-0.00626678485852686,-0.3777099066070159,3,0.8053970105411595
16.0,2.9700516554138087e-05,0.7492223316611394,0.19,0.20500000000000002,76.0,80.0,1.2305233935598299,54.2361537477905,0.008738217315261648,0.9020990304584605,3,0.8053970105411595
16.0,8.75301640249408e-06,0.5356246399697023,0.2,0.195,80.0,80.0,1.3065333281631204,51.92808145842993,0.012459719345148198,0.9625462056763211,3,0.8053970105411595
16.0,2.0914505618279826e-05,0.14130276085642238,0.195,0.2,80.0,78.0,1.2716497748244209,56.81409613381747,-0.00023978912794790224,-0.27556671346789446,3,0.8053970105411595
16.0,5.279324346709586e-06,0.24111951869906256,-0.195,0.195,78.0,80.0,1.1445336216647373,69.26046596490436,-0.012648319868173049,-1.1838273109713495,3,0.8053970105411595
16.0,2.6999103663845527e-05,0.21634493515412256,0.19,0.20500000000000002,76.0,80.0,1.1168526416184008,81.85820746899685,-0.008354016360979438,-0.5429582613054191,3,0.8053970105411595
16.0,6.483200683840342e-05,0.402868645603648,0.19,0.2,76.0,78.0,1.1659785113375802,90.60613455471992,0.006716021176058796,0.8740395271565615,3,0.8053970105411595
16.0,2.022773243679342e-05,0.45592373268513103,0.185,0.195,76.0,80.0,1.1620299522624191,98.14205131738393,0.012667391660779017,1.2054673407804135,3,0.8053970105411595
16.0,1.1900833970978059e-05,0.3058679525126586,-0.195,0.19,78.0,82.0,1.1710035879210616,97.62956856119945,0.002337709786159729,-0.09424828952411167,3,0.8053970105411595
16.0,7.619390967775037e-06,0.48577750096258804,0.185,0.2,76.0,82.0,1.1665908445916247,84.81649762291653,-0.010325129593115998,-1.3678086582857045,3,0.8053970105411595
16.0,1.845958959776937e-05,0.6066790643118652,-0.195,0.195,78.0,80.0,1.1254424596353205,77.3325352085491,-0.009600207571469132,-0.8365940591070069,3,0.8053970105411595
16.0,1.090620902173908e-05,0.3770760638738541,-0.195,0.195,78.0,78.0,1.1131877544897806,72.12065431276626,0.0025921764391429623,0.8914160991245469,3,0.8053970105411595
16.0,1.5212144224401996e-05,1.3683005423195445,0.195,0.2,76.0,78.0,1.0375232291838097,66.0420173747414,0.011009052720156108,1.4794656878180612,3,0.8053970105411595
16.0,1.823108981800059e-05,0.4728390370998151,0.20500000000000002,0.2,78.0,80.0,0.971095022201741,56.14763694087812,0.006201216943131789,0.05813645344002506,3,0.8053970105411595
16.0,5.565776776948184e-06,0.22957368199397607,0.2,0.21,80.0,78.0,0.9699736350813871,60.308328465587316,-0.0056618419638245375,-1.4832657103959694,3,0.8053970105411595
16.0,2.181680970071354e-05,1.0984137495014001,0.2,-0.195,80.0,78.0,0.9962474444464086,75.5877271369537,-0.010931082660303376,-1.0474190009405027,3,0.8053970105411595
16.0,8.895565242580223e-06,0.29519961786875004,0.20500000000000002,0.195,82.0,78.0,1.0155691413576922,91.1430092014369,-0.0034832023586931866,0.7921102204880611,3,0.8053970105411595
16.0,1.0715980841847743e-05,0.4940832985355895,0.20500000000000002,-0.20500000000000002,82.0,78.0,1.051204835387471,99.98760802021735,0.008560006806253025,1.5743594079471979,3,0.8053970105411595
16.0,1.6175345274360816e-05,0.2421068145086366,0.2,0.2,80.0,78.0,1.0574240632409497,96.58703707391926,0.011021898898699815,0.27556338369185956,3,0.8053970105411595
16.0,6.414484357662969e-06,0.5742668008219297,0.20500000000000002,0.195,82.0,78.0,1.048168750389936,86.18281256411488,-0.00015178584896455204,-1.3627064818228463,3,0.8053970105411595
16.0,4.216501717245164e-05,0.46064156692510233,0.195,0.215,82.0,78.0,1.0256318628133585,82.39529558302954,-0.012255430957076178,-1.2001058348900535,3,0.8053970105411595
16.0,3.07854891393224e-05,0.2512658718575397,0.195,0.2,76.0,80.0,1.0366508956799296,89.03312356733016,-0.009598462952311195,0.5041902114823908,3,0.8053970105411595
16.0,1.3353742934797401e-05,0.13655647943511315,0.2,0.18,78.0,78.0,1.0376082908472735,96.17219236106325,0.0059960927067851475,1.519576801708304,3,0.8053970105411595
